Thoothukudi	Tamil Nadu	Grace College of Engineering, Chandy Nagar
Coimbatore	Tamil Nadu	Hindusthan College of Engineering and Technology (Autonomous), Othakkalmandapam
Coimbatore	Tamil Nadu	Hindusthan Institute of Technology (Autonomous), Othakkalmandapam
Thoothukudi	Tamil Nadu	Holy Cross Engineering College, Vagaikulam
Viluppuram	Tamil Nadu	I F E T College of Engineering (Autonomous), Gangarampalayam
Salem	Tamil Nadu	Idhaya Engineering College for Women, Chinnasalem
Tiruchirappalli	Tamil Nadu	Imayam College of Engineering, Kannanur
Kanyakumari	Tamil Nadu	Immanuel Arasar J.J. College of Engineering, Edavilagam
Salem	Tamil Nadu	Indian Institute of Handloom Technology, Foulke's Compound
Tiruvallur	Tamil Nadu	Indira Institute of Engineering and Technology, VGR Gardens
Tiruchirappalli	Tamil Nadu	Indra Ganesan College of Engineering, Madurai Main Road
Thoothukudi	Tamil Nadu	Infant Jesus College of Engineering
Coimbatore	Tamil Nadu	Info Institute of Engineering, Sarkar Samakulam
Coimbatore	Tamil Nadu	J C T College of Engineering and Technology, Pichanur
Tiruchirappalli	Tamil Nadu	J J College of Engineering and Technology, Poolankulathupatti
Erode	Tamil Nadu	J K K Munirajah College of Technology, T N Palayam
Namakkal	Tamil Nadu	J K K Nataraja College of Engineering and Technology, Komarapalayam Amani
Tiruvallur	Tamil Nadu	J N N Institute of Engineering, Ushaa Garden
Tenkasi	Tamil Nadu	J P College of Engineering, College Road
Tiruppur	Tamil Nadu	Jai Shriram Engineering College, Dharapuram Road
Coimbatore	Tamil Nadu	Jansons Institute of Technology, Karumathampatty
Chennai	Tamil Nadu	Jaya College of Engineering and Technology, Parivakkam
Chennai	Tamil Nadu	Jaya Engineering College, Thirunindravur
Tiruvallur	Tamil Nadu	Jaya Institute of Technology, Kanchipadi
Chennai	Tamil Nadu	Jaya Sakthi Engineering College, Thirunindravur
Dharmapuri	Tamil Nadu	Jayalakshmi Institute of Technology, Thoppur
Dharmapuri	Tamil Nadu	Jayam College of Engineering and Technology, Nallanur
Kanyakumari	Tamil Nadu	Jayamatha Engineering College, Aralvaimozhi
Thoothukudi	Tamil Nadu	Jayaraj Annapackiam CSI College of Engineering, Nazareth
Chennai	Tamil Nadu	Jeppiaar Engineering College
Kancheepuram	Tamil Nadu	Jeppiaar Institute of Technology,kunnam
Salem	Tamil Nadu	Jerusalem College of Engineering (Autonomous), Narayanapuram
Chennai	Tamil Nadu	K C G College of Technology, Karappakkam
Sivaganga	Tamil Nadu	K L N College of Engineering (Autonomous), Pottapalayam
Coimbatore	Tamil Nadu	K P R Institute of Engineering and Technology (Autonomous), Kollupalayam Village
Tiruchirappalli	Tamil Nadu	K Ramakrishnan College of Engineering (Autonomous), Kariyamanickam Road
Tiruchirappalli	Tamil Nadu	K Ramakrishnan College of Technology (Autonomous), Kariyamanickam Road
Thanjavur	Tamil Nadu	K S K College of Engineering and Technology, Thanjavur Main Road
Namakkal	Tamil Nadu	K S R College of Engineering (Autonomous), Tiruchengode
Namakkal	Tamil Nadu	K S R Institute for Engineering and Technology, Thokkavadi
Namakkal	Tamil Nadu	K S Rangasamy College of Technology (Autonomous), Tiruchengode
Virudhunagar	Tamil Nadu	Kamaraj College of Engineering and Technology (Autonomous)
Sivaganga	Tamil Nadu	Karaikudi Institute of Technology and Karaikudi Institute of Management, KIT & KIM Technical Campus
Chengalpattu	Tamil Nadu	Karpaga Vinayaga College of Engineering and Technology, Palayanoor
Coimbatore	Tamil Nadu	Karpagam College of Engineering (Autonomous), Othakkalmandapam
Coimbatore	Tamil Nadu	Karpagam Institute of Technology, Seerapalayam Village
Coimbatore	Tamil Nadu	Kathir College of Engineering, Neelambur
Coimbatore	Tamil Nadu	KGISL Institute of Technology, KGISL Campus
Pudukkottai	Tamil Nadu	Kings College of Engineering, Punalkulam
Kancheepuram	Tamil Nadu	Kings Engineering College, Sriperumpudur Taluk
